R (2018),Pollster (2018),# of Polls (2018),Predictive    Plus-Minus (2018),538 Grade (2018),Mean-Reverted Bias (2018),Races Called Correctly (2018),Bias (2018),House Effect (2018)
311,Great Lakes Strategies Group,1,0.8,C+,R +0.2,0%,R +7.6,R +10.0
157,Greenberg Quinlan Rosner (Democracy Corps),50,0.4,B-,D +2.4,51%,D +3.9,D +3.5
68,Greenberg Quinlan Rosner/American Viewpoint,7,0,B+,R +0.7,100%,R +4.9,D +1.8
359,Greg Smith and Associates,5,1,C,D +1.2,60%,D +8.5,D +3.7
10,Grove Insight,29,-0.8,A,D +0.5,90%,D +1.0,D +3.4
272,Hamilton Campaigns,8,0.7,C+,D +1.5,56%,D +7.0,D +5.4
297,Hampton University,4,0.8,C+,R +0.7,50%,R +5.8,R +6.7
100,Harper Polling,11,0.2,B,D +0.1,91%,D +0.5,R +1.1
310,Harris Interactive,135,0.8,C+,R +1.5,86%,R +1.9,D +0.9
64,"Harstad Strategic Research, Inc.",9,-0.1,B+,D +0.8,72%,D +3.4,D +3.1
298,Harvard University,1,0.8,C+,D +0.2,0%,D +6.9,D +1.5
229,Hays Research Group,7,0.6,C+,D +1.1,71%,D +11.9,D +2.7
274,Hellenthal & Associates,5,0.7,C+,D +0.4,40%,D +4.4,D +1.2
161,Hendrix College,11,0.4,B-,D +1.7,91%,D +6.3,R +2.8
42,High Point University,2,-0.3,B+,D +0.0,100%,D +0.1,D +1.8
113,Hill Research Consultants,4,0.2,B,R +0.4,50%,R +3.2,R +1.0
154,Hoffman Research Group,1,0.4,B-,R +0.2,100%,R +7.1,R +0.4
196,Howey Politics/DePauw University,7,0.5,B-,D +0.1,57%,D +0.6,D +1.3
393,Humphrey Institute,10,2.2,D-,D +0.8,40%,D +3.8,D +3.0
25,IBD/TIPP,21,-0.5,A-,R +0.8,71%,R +1.9,R +1.4
316,Illinois Wesleyan University,3,0.8,C,R +0.7,100%,R +8.2,R +5.9
307,IMGE Insights,1,0.8,C+,R +0.3,100%,R +7.9,R +2.3
304,Independent Market Research,2,0.8,C+,D +0.3,100%,D +5.3,D +4.9
43,Indiana University,2,-0.3,B+,D +0.1,100%,D +0.9,D +4.1
373,Indiana University-Purdue University Fort Wayne,3,1.2,C-,,0%,,
108,Insights West,9,0.2,B,R +0.1,94%,R +0.4,R +0.9
266,Iona College,1,0.7,C+,D +0.1,100%,D +4.4,R +1.7
84,Iowa State University,3,0.1,B,,67%,,
63,Ipsos,56,-0.1,B+,D +0.6,75%,D +1.0,D +1.3
328,Ivan Moore Research,5,0.9,C,D +1.3,40%,D +9.4,D +5.2
185,IVR Polls,4,0.5,B-,,100%,,
390,Jayhawk Consulting,1,1.8,D,D +1.4,0%,D +42.9,
367,Jeffrey Stonecash,1,1.1,C,R +0.6,0%,R +17.3,R +16.5
226,Jim Meader (KELOLAND-TV),4,0.6,C+,D +0.5,100%,D +4.6,D +4.4
257,JMC Enterprises,8,0.7,C+,R +1.0,81%,R +4.9,R +1.3
72,"Keating Research, Inc.",5,0,B,D +0.1,80%,D +0.9,D +3.0
111,Kiley & Company,2,0.2,B,D +0.2,100%,D +3.4,D +7.3
292,Kimball Political Consulting,4,0.7,C+,R +1.0,75%,R +8.1,R +4.5
102,Knowledge Networks,3,0.2,B,R +0.4,100%,R +4.1,R +1.0
175,KRC/Communications Research,22,0.4,B-,D +0.2,91%,D +0.7,D +2.5
37,Lake Research Partners,10,-0.3,B+,D +0.6,80%,D +2.4,D +3.3
77,Landmark Communications,38,0.1,B,D +1.4,82%,D +2.7,R +0.5
207,Lauer Johnson Research,1,0.5,C+,D +0.4,0%,D +13.8,D +17.0
238,"Lauer Lalley Victoria, Inc.",1,0.7,C+,R +0.1,100%,R +1.7,D +4.0
286,Liberty Opinion Research,1,0.7,C+,,100%,,
218,Lincoln Institute,2,0.6,C+,R +0.3,75%,R +4.1,D +2.5
191,Loras College,18,0.5,B-,D +1.4,72%,D +4.3,D +0.6
24,Los Angeles Times,38,-0.5,A-,R +0.4,86%,R +1.0,D +0.7
214,Louis Harris & Associates,2,0.6,C+,D +0.1,100%,D +0.9,D +4.6
106,Louisville Courier-Journal,10,0.2,B,R +0.3,80%,R +1.3,R +1.6
195,Lucid,14,0.5,B-,D +0.8,100%,D +2.4,D +1.8
314,Lycoming College,3,0.8,C,D +0.7,67%,D +7.3,D +6.3
213,M4 Strategies,2,0.6,C+,R +0.2,100%,R +3.1,D +4.8
293,Magellan Strategies,14,0.7,C+,R +0.5,93%,R +2.5,R +4.8
335,Maine People's Resource Center,8,0.9,C,D +0.3,88%,D +1.7,R +2.0
222,Manhattanville College,3,0.6,C+,R +0.5,100%,R +8.2,D +0.2
283,MarblePort,2,0.7,C+,R +0.3,100%,R +5.6,R +4.4
9,Marist College,159,-0.9,A,R +0.5,85%,R +0.6,D +0.0
91,Market Decisions,4,0.1,B,R +0.1,100%,R +0.5,D +0.4
56,Market Research Insight,7,-0.1,B+,D +0.1,100%,D +0.3,D +2.0
107,"Market Research Institute, Inc.",9,0.2,B,R +0.3,100%,R +1.4,R +0.8
47,Market Shares Corp.,26,-0.2,B+,R +1.7,85%,R +4.1,R +2.0
208,Market Solutions Group,4,0.6,C+,R +0.0,100%,R +0.1,D +1.8
235,Market Strategies International,1,0.7,C+,R +0.0,100%,R +1.1,R +4.6
275,Market Trends Pacific,1,0.7,C+,D +0.1,50%,D +4.6,D +2.5
345,"MarketAide Services, Inc.",1,0.9,C,D +0.4,100%,D +11.2,D +9.5
326,Marketing Research Institute,1,0.9,C,R +0.2,0%,R +7.4,R +7.3
258,Marketing Resource Group (MRG),7,0.7,C+,R +0.3,14%,R +3.0,R +1.1
381,Marketing Workshop,7,1.4,C-,D +0.3,57%,D +1.6,D +0.7
17,Marquette University Law School,9,-0.7,A,D +0.3,78%,D +1.5,R +0.0
186,Marshall Marketing & Communications,4,0.5,B-,R +0.2,100%,R +2.2,R +0.5
36,"Mason-Dixon Polling & Research, Inc.",420,-0.3,B+,R +0.7,86%,R +0.8,R +1.0
388,Massie & Associates,2,1.7,D+,R +1.5,0%,R +23.9,
27,MassINC Polling Group,14,-0.4,A-,R +0.4,86%,R +1.7,R +0.9
215,Master Image,2,0.6,C+,,100%,,
348,McCulloch Research & Polling,4,1,C,R +0.6,75%,R +5.5,R +3.7
95,McKeon & Associates,2,0.2,B,R +0.0,100%,R +0.9,R +2.0
378,McLaughlin & Associates,22,1.3,C-,R +0.4,77%,R +1.0,R +3.9
128,Meeting Street Research,1,0.3,B-,D +0.1,100%,D +2.7,D +5.3
88,Mellman Group,21,0.1,B,D +1.6,79%,D +4.0,D +5.4
122,Merrill Poll,2,0.2,B,,100%,,
377,Merriman River Group,21,1.3,C-,R +2.2,81%,R +5.5,R +3.4
147,Middle Tennessee State University,4,0.3,B-,D +0.1,100%,D +1.3,R +5.0
206,Midwest Survey and Research,3,0.5,C+,R +0.1,100%,R +1.0,
387,Millersville University,5,1.6,D+,R +1.5,80%,R +10.5,R +6.3
309,Minnesota State University Moorhead,4,0.8,C+,D +0.5,100%,D +5.9,
85,Missouri State University,3,0.1,B,D +0.4,67%,D +4.1,D +1.2
392,Mitchell Research & Communications,56,2,D-,D +0.9,59%,D +1.6,R +0.0
344,Momentum Analysis,3,0.9,C,D +0.5,33%,D +5.7,D +2.8
2,Monmouth University,95,-1.3,A+,D +1.4,80%,D +2.1,R +0.7
57,Montana State University Billings,7,-0.1,B+,D +0.6,57%,D +3.0,D +2.6
109,Moore Information,6,0.2,B,R +0.5,67%,R +2.8,R +5.1
187,Morning Consult,8,0.5,B-,D +0.6,63%,D +2.7,D +0.5
201,MSR Group,3,0.5,B-,D +0.3,100%,D +3.5,D +1.3
8,Muhlenberg College,26,-0.9,A,R +0.2,83%,R +0.5,D +0.0
216,Multi-Quest International,2,0.6,C+,R +0.1,50%,R +1.1,D +1.9
11,National Journal,12,-0.8,A,R +0.2,100%,R +0.6,D +0.3
53,"National Research, Inc.",8,-0.2,B+,R +0.5,81%,R +2.7,R +4.6
34,NBC News/Wall Street Journal,27,-0.3,A-,D +0.8,72%,D +1.9,D +1.4
371,Neighbor,1,1.1,C-,R +0.6,100%,R +17.1,R +14.0
255,Neighborhood Research Corporation,1,0.7,C+,R +0.1,100%,R +3.4,R +7.2
94,New England College,15,0.2,B,R +0.6,77%,R +1.9,R +3.5
324,New Frontier Strategy,1,0.9,C,,0%,,
248,New Mexico State University,1,0.7,C+,,0%,,
394,Nielson Brothers Polling,9,2.3,D-,D +2.8,89%,D +12.2,D +9.9
149,"Normington, Petts & Associates",10,0.3,B-,D +0.7,60%,D +2.7,D +4.5
117,"North Star Opinion Research/Ayres, McHenry & Associates",3,0.2,B,R +0.5,67%,R +5.6,R +5.3
183,Northern Arizona University,4,0.5,B-,R +0.4,100%,R +3.3,R +5.1
151,NPR,3,0.4,B-,D +0.1,17%,D +1.0,D +1.0
260,NRECA Market Research,1,0.7,C+,D +0.2,100%,D +6.3,
227,OH Predictive Insights/MBQF,2,0.6,C+,R +0.2,100%,R +5.3,R +8.3
270,Ohio State University,1,0.7,C+,R +0.1,100%,R +3.7,R +7.3
370,Ohio University,2,1.1,C-,D +0.5,50%,D +8.8,D +8.1
132,Old Dominion University,1,0.3,B-,D +0.1,100%,D +4.5,R +0.8
269,OnMessage Inc.,6,0.7,C+,R +1.1,67%,R +6.6,R +3.6
190,OnPoint,4,0.5,B-,D +0.2,100%,D +1.6,D +2.3
303,Opinion Consultants,2,0.8,C+,R +0.4,100%,R +6.5,R +5.4
372,Opinion Research Associates,12,1.2,C-,D +1.7,71%,D +6.1,D +5.9
273,Opinion Savvy/InsiderAdvantage,116,0.7,C+,D +1.1,70%,D +1.9,D +0.2
164,OpinionWorks,6,0.4,B-,R +0.5,92%,R +3.0,D +3.7
379,Optimus,5,1.3,C-,R +1.0,60%,R +10.9,R +1.1
75,Orion Strategies,4,0,B,D +0.1,100%,D +1.3,D +6.3
168,Overtime Politics,12,0.4,F,,67%,,
65,Pan Atlantic SMS Group,17,-0.1,B+,D +0.9,91%,D +2.8,D +1.5
194,Penn Schoen Berland,18,0.5,B-,D +2.5,67%,D +6.7,D +0.4
287,People's Pundit Daily,3,0.7,F,R +0.3,33%,R +3.0,R +4.8
202,Personal Marketing Research,3,0.5,B-,,67%,,
139,Pew Research Center,21,0.3,B-,D +0.6,60%,D +1.5,D +0.9
70,Pharos Research Group,31,0,F,D +0.9,92%,D +1.7,D +0.9
320,Polling Company/Global Strategy Group (Hotline Bullseye),3,0.8,C,R +0.4,33%,R +4.6,R +3.1
153,Potomac Incorporated,8,0.4,B-,R +0.5,88%,R +3.1,D +1.3
199,Praecones Analytica,3,0.5,B-,R +0.2,33%,R +1.8,R +5.3
46,Princeton Survey Research Associates International,33,-0.2,B+,D +0.3,70%,D +0.5,R +0.2
125,Probolsky Research,1,0.3,B,R +0.2,0%,R +4.9,
340,PSI,3,0.9,C,R +0.1,67%,R +3.3,R +4.0
79,Public Opinion Strategies,57,0.1,B,R +1.5,68%,R +2.3,R +4.3
221,Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),2,0.6,C+,,100%,,
12,Public Policy Institute of California,12,-0.8,A,R +0.7,100%,R +3.4,R +1.0
74,Public Policy Polling,411,0,B,D +0.3,80%,D +0.3,D +1.0
305,"Public Strategies, Inc.",6,0.8,C+,,100%,,
211,Purple Strategies,4,0.6,C+,R +0.4,88%,R +3.0,R +0.0
121,QEV Analytics,1,0.2,B,,0%,,
29,Quinnipiac University,195,-0.4,A-,D +0.1,85%,D +0.1,D +0.5
299,R.L. Repass & Partners,1,0.8,C+,,100%,,
317,RABA Research,2,0.8,C,D +0.2,100%,D +6.9,D +2.0
363,Rainmaker Media Group,1,1.1,C,D +0.4,100%,D +12.7,D +8.6
265,RAND (American Life Panel),4,0.7,C+,D +0.2,100%,D +1.4,D +3.8
225,Rasmussen Reports/Pulse Opinion Research,711,0.6,C+,R +1.5,78%,R +1.6,R +1.2
96,RBI Strategies & Research,2,0.2,B,R +0.0,100%,R +0.7,D +3.5
247,Red Sea Communications,1,0.7,C+,R +0.1,100%,R +4.4,
350,Remington Research Group,32,1,C,D +1.1,67%,D +2.1,R +1.9
18,"Research & Polling, Inc.",27,-0.6,A,R +0.5,85%,R +1.1,R +1.2
174,Research 2000,277,0.4,F,D +1.4,88%,D +1.6,D +1.2
300,Research America Inc.,2,0.8,C+,,100%,,
296,ResearchNow,2,0.8,C+,,100%,,
245,Revily,1,0.7,C+,R +0.0,100%,R +0.5,D +1.7
230,Rhode Island College,5,0.7,C+,R +0.2,100%,R +1.5,R +0.8
280,Rice University,2,0.7,C+,D +0.4,100%,D +5.9,D +0.6
188,"Richard Day Research, Inc.",11,0.5,B-,R +0.8,100%,R +2.9,R +0.9
92,Richmond Times-Dispatch,4,0.1,B,D +0.3,100%,D +2.9,D +2.4
385,Riggs Research Services,1,1.5,D+,D +1.1,0%,D +33.7,D +29.0
59,Riley Research Associates,7,-0.1,B+,R +0.1,100%,R +0.6,R +1.4
252,Rivercity Polling,1,0.7,C+,R +0.2,100%,R +6.7,R +11.5
26,"RKM Research and Communications, Inc.",28,-0.4,A-,R +0.2,88%,R +0.5,R +1.5
232,RMS Research,1,0.7,C+,R +0.0,100%,R +0.9,
366,Roanoke College,15,1.1,C,D +0.5,77%,D +1.6,D +1.6
313,Ron Lester and Associates,1,0.8,C,,100%,,
289,Rossman Group,1,0.7,C+,D +0.1,100%,D +4.2,D +4.7
138,RRH Elections,7,0.3,B-,D +0.0,79%,D +0.2,R +4.1
60,RT Strategies,42,-0.1,B+,D +1.1,71%,D +1.9,D +3.5
152,Rutgers University,13,0.4,B-,D +0.1,85%,D +0.3,D +1.3
346,Saguaro Strategies,2,0.9,C,D +0.3,0%,D +5.0,D +4.1
382,Saint Leo University,4,1.4,C-,D +0.9,50%,D +7.6,D +5.7
357,Schapiro Group,2,1,C,,100%,,
134,Schoen Consulting,1,0.3,B-,R +0.1,100%,R +2.3,R +1.8
167,"Schroth, Eldon & Associates",8,0.4,B-,D +0.6,88%,D +3.4,D +1.4
184,Scripps Howard,4,0.5,B-,R +0.1,100%,R +0.6,R +2.3
1,Selzer & Company,43,-1.4,A+,R +0.0,86%,R +0.0,D +0.1
14,Siena College,60,-0.8,A,D +0.1,82%,D +0.1,R +0.7
246,Singularis Group,1,0.7,C+,R +0.0,100%,R +0.8,D +2.0
330,"SMS Research & Marketing Services, Inc.",1,0.9,C,R +0.3,0%,R +9.8,R +0.3
177,SocialSphere,2,0.5,B-,R +0.4,100%,R +6.1,R +6.4
162,SoonerPoll.com,17,0.4,B-,D +1.9,82%,D +6.4,R +0.2
356,Southeastern Louisiana University,8,1,C,D +0.3,88%,D +1.4,R +0.7
105,Southern Media & Opinion Research,7,0.2,B,D +0.6,100%,D +3.2,D +3.6
319,Southern Opinion Research,1,0.8,C,D +0.3,100%,D +9.4,D +13.0
30,SSRS,5,-0.4,A-,R +0.1,20%,R +0.5,D +1.0
262,St. Cloud State University,9,0.7,C+,D +0.4,67%,D +1.9,D +1.2
35,St. Norbert College,12,-0.3,A-,D +0.3,88%,D +0.9,D +2.9
165,StPetePolls.org,5,0.4,B-,D +0.1,70%,D +0.7,D +0.3
282,Star Tribune,13,0.7,C+,D +1.5,46%,D +5.5,D +3.9
120,Starboard Communications,1,0.2,B,D +0.1,100%,D +3.3,R +7.3
54,Stockton College,8,-0.2,B+,D +0.3,100%,D +1.5,D +0.2
212,Strategic National,2,0.6,C+,D +0.0,25%,D +0.7,R +4.8
290,Strategic Services,1,0.7,C+,D +0.2,0%,D +5.5,D +2.0
81,"Strategic Vision, LLC",129,0.1,F,R +1.9,88%,R +2.4,R +2.3
76,Strategies 360,4,0,B,R +0.1,63%,R +0.6,D +1.0
322,Strategy Research,1,0.9,C,R +0.3,0%,R +8.6,R +4.7
55,Suffolk University,74,-0.1,B+,D +0.6,81%,D +1.0,D +2.0
395,SurveyMonkey,206,2.4,D-,D +4.9,83%,D +5.6,D +3.2
7,SurveyUSA,777,-0.9,A,D +0.1,90%,D +0.1,R +0.3
259,"Susquehanna Polling & Research, Inc.",31,0.7,C+,D +0.2,74%,D +0.5,D +0.3
205,"Talmey-Drake Research & Strategy, Inc.",9,0.5,C+,R +0.4,50%,R +1.8,D +2.7
331,Target Insyght,1,0.9,C,,100%,,
361,TargetPoint,3,1,C,,83%,,
329,TargetSmart/William & Mary,3,0.9,C,D +0.5,67%,D +5.3,D +1.7
83,Tarrance Group,24,0.1,B,R +0.7,83%,R +1.7,R +5.4
396,TCJ Research,133,2.8,F,R +4.5,59%,R +5.6,R +3.5
104,Tel Opinion Research,12,0.2,B,R +0.0,96%,R +0.1,D +0.1
302,TeleResearch Corporation,1,0.8,C+,,100%,,
71,Temple University,6,0,B,R +0.4,100%,R +2.5,D +0.8
343,The Polling Company Inc.,7,0.9,C,R +0.9,71%,R +4.8,R +3.5
315,TMR Research,2,0.8,C,D +0.5,0%,D +7.8,D +6.7
318,Trafalgar Group,27,0.8,C,R +0.3,85%,R +0.8,R +3.1
263,Triumph Campaigns,1,0.7,C+,R +0.1,100%,R +4.2,R +5.0
99,Tulchin Research,2,0.2,B,R +0.2,100%,R +3.5,D +3.2
323,Tulsa Surveys,1,0.9,C,R +0.4,100%,R +11.9,
200,US News & World Report,3,0.5,B-,R +0.1,100%,R +0.8,D +1.2
368,University of Alabama,2,1.1,C,R +0.8,100%,R +12.0,R +7.0
22,University of Arkansas,6,-0.5,A-,D +0.6,100%,D +3.8,R +3.9
