R (2014),Pollster (2014),# of Polls (2014),Predictive    Plus-Minus(2014),538 Grade (2014),Mean-Reverted Bias (2014),Races Called Correctly (2014),Bias (2014),House Effect (2014)
43,Garin-Hart-Yang Research Group,19,-0.2,B,D +1.2,87%,D +3.0,D +4.5
72,GBA Strategies,2,0.1,B-,R +0.2,100%,R +3.7,D +4.0
299,GCR & Associates,1,0.9,C-,,100%,,
137,George Washington University (Battleground),32,0.4,C+,R +1.0,56%,R +1.9,R +2.0
19,GfK Group,18,-0.5,A-,R +0.0,92%,R +0.1,D +1.0
119,"Glengariff Group, Inc.",5,0.4,C+,R +0.1,60%,R +1.0,D +3.0
159,Global Strategy Group,18,0.5,C+,D +1.0,67%,D +2.7,D +4.0
289,Glover Park Group,1,0.9,C-,R +0.4,0%,R +11.4,R +11.5
283,"Gonzales Research & Marketing Strategies, Inc.",8,0.9,C-,R +0.6,88%,R +3.2,R +1.4
100,Google Consumer Surveys,12,0.3,C+,R +0.6,83%,R +2.2,D +1.5
215,Gordon S. Black Corp.,2,0.7,C,R +0.4,100%,R +6.3,R +1.7
193,Gravis Marketing,20,0.6,C,R +1.4,73%,R +3.5,R +2.2
277,Great Lakes Strategies Group,1,0.8,C-,R +0.2,0%,R +7.6,R +10.0
117,Greenberg Quinlan Rosner (Democracy Corps),46,0.4,C+,D +2.3,50%,D +3.9,D +3.6
310,Greg Smith and Associates,5,1.1,D+,D +1.2,60%,D +8.5,D +3.7
6,Grove Insight,29,-0.9,A,D +0.5,90%,D +1.0,D +3.4
305,Hamilton Campaigns,7,1,C-,D +1.2,50%,D +6.4,D +5.4
91,Hampton University,1,0.2,B-,D +0.1,100%,D +3.5,R +1.9
161,Harper Polling,2,0.5,C+,D +0.1,100%,D +1.0,D +0.5
314,"Harris Interactive, online",126,1.1,D+,R +1.7,88%,R +2.1,D +1.0
170,"Harris Interactive, telephone",9,0.5,C+,D +0.5,61%,D +2.0,D +0.8
71,"Harstad Strategic Research, Inc.",7,0.1,B-,D +0.7,86%,D +3.6,D +3.8
243,Harvard University,1,0.7,C,D +0.2,0%,D +6.9,D +1.5
218,Hays Research Group,7,0.7,C,D +1.1,71%,D +11.9,D +2.7
173,Hellenthal & Associates,2,0.6,C,D +0.3,50%,D +8.1,D +6.2
134,Hendrix College,4,0.4,C+,D +0.5,100%,D +3.9,R +5.0
65,High Point University,2,0,B-,D +0.0,100%,D +0.1,D +1.8
90,Hill Research Consultants,4,0.2,B-,R +0.4,50%,R +3.2,R +1.0
252,Hoffman Research Group,1,0.8,C-,R +0.2,100%,R +7.1,R +0.4
136,Howey Politics/DePauw University,7,0.4,C+,D +0.1,57%,D +0.6,D +1.5
335,Humphrey Institute,10,1.9,D-,D +0.8,40%,D +3.8,D +3.0
49,IBD/TIPP,17,-0.1,B,R +0.7,76%,R +2.1,R +1.1
258,Illinois Wesleyan University,3,0.8,C-,R +0.7,100%,R +8.2,R +6.2
267,Independent Market Research,2,0.8,C-,D +0.3,100%,D +5.3,D +4.9
64,Indiana University,2,0,B-,D +0.1,100%,D +0.9,D +4.1
155,Inside Michigan Politics,1,0.5,C+,,0%,,
327,InsiderAdvantage,89,1.3,D,D +0.3,69%,D +0.6,R +0.2
158,"International Communications Research, Inc.",5,0.5,C+,R +0.1,20%,R +0.5,D +1.1
225,Iona College,1,0.7,C,D +0.1,100%,D +4.4,R +1.7
125,Iowa State University,1,0.4,C+,,0%,,
93,"Ipsos, online",22,0.3,C+,R +0.5,82%,R +1.3,D +2.0
9,"Ipsos, telephone",21,-0.7,A-,D +0.4,74%,D +1.1,D +0.6
180,Ivan Moore Research,3,0.6,C,D +0.9,33%,D +9.6,D +2.5
150,IVR Polls,4,0.5,C+,,100%,,
311,Jeffrey Stonecash,1,1.1,D+,R +0.6,0%,R +17.3,R +16.5
219,Jim Meader (KELOLAND-TV),4,0.7,C,D +0.5,100%,D +4.6,D +4.4
319,JMC Enterprises,1,1.2,D+,R +0.7,100%,R +22.9,
70,"Keating Research, Inc.",2,0.1,B-,R +0.1,100%,R +1.9,D +2.4
190,Kiley & Company,2,0.6,C,D +0.2,100%,D +3.4,D +7.3
259,Kimball Political Consulting,4,0.8,C-,R +1.0,75%,R +8.1,R +4.5
82,Knowledge Networks,3,0.2,B-,R +0.0,100%,R +0.3,R +0.3
132,KRC/Communications Research,22,0.4,C+,D +0.2,91%,D +0.7,D +2.4
33,Lake Research Partners,9,-0.3,B+,D +0.5,83%,D +2.2,D +3.1
148,Landmark Communications,10,0.5,C+,R +0.6,80%,R +2.8,R +2.9
165,Lauer Johnson Research,1,0.5,C+,D +0.4,0%,D +13.8,D +17.0
185,"Lauer Lalley Victoria, Inc.",1,0.6,C,R +0.1,100%,R +1.7,D +4.0
27,Los Angeles Times,40,-0.4,B+,R +0.6,86%,R +1.4,D +0.6
144,Louis Harris & Associates,2,0.4,C+,D +0.1,100%,D +0.9,D +4.6
84,Louisville Courier-Journal,10,0.2,B-,R +0.3,80%,R +1.3,R +1.6
321,Loyola University (New Orleans),2,1.2,D+,D +0.8,100%,D +12.1,D +4.8
276,Lycoming College,3,0.8,C-,D +0.7,67%,D +7.3,D +6.3
104,M4 Strategies,2,0.3,C+,R +0.2,100%,R +3.1,D +4.8
147,Magellan Strategies,6,0.5,C+,R +0.6,92%,R +5.2,R +10.2
269,Maine People's Resource Center,3,0.8,C-,R +0.4,100%,R +7.0,R +3.0
197,Manhattanville College,3,0.6,C,R +0.5,100%,R +8.2,D +0.2
28,Marist College,99,-0.3,B+,R +1.5,89%,R +2.2,D +0.6
76,Market Decisions,4,0.1,B-,R +0.1,100%,R +0.5,D +0.4
167,Market Research Insight,2,0.5,C+,R +0.0,100%,R +0.5,D +0.3
80,"Market Research Institute, Inc.",9,0.2,B-,R +0.3,100%,R +1.4,R +0.8
34,Market Shares Corp.,26,-0.3,B+,R +1.7,85%,R +4.1,R +2.1
182,Market Solutions Group,4,0.6,C,R +0.0,100%,R +0.1,D +1.8
174,Market Strategies International,1,0.6,C,R +0.0,100%,R +1.1,R +5.7
232,Market Trends Pacific,1,0.7,C,D +0.1,50%,D +4.6,D +2.5
294,"MarketAide Services, Inc.",1,0.9,C-,D +0.4,100%,D +11.2,D +9.5
281,Marketing Research Institute,1,0.8,C-,R +0.2,0%,R +7.4,R +7.3
274,Marketing Resource Group (MRG),4,0.8,C-,R +0.3,0%,R +3.0,R +1.1
324,Marketing Workshop,7,1.3,D,D +0.3,57%,D +1.6,D +0.7
47,Marquette University,4,-0.2,B,R +0.0,100%,R +0.2,D +2.2
143,Marshall Marketing & Communications,4,0.4,C+,R +0.2,100%,R +2.2,R +0.5
35,"Mason-Dixon Polling & Research, Inc.",407,-0.3,B+,R +1.1,86%,R +1.1,R +1.1
334,Massie & Associates,2,1.7,D-,R +1.5,0%,R +23.9,
55,MassINC Polling Group,4,-0.1,B,R +0.3,100%,R +2.3,D +0.4
242,McCulloch Research & Polling,3,0.7,C,R +0.3,67%,R +2.9,R +2.4
223,McLaughlin & Associates,19,0.7,C,R +0.5,84%,R +1.2,R +4.0
75,Mellman Group,20,0.1,B-,D +1.6,83%,D +4.0,D +5.4
295,Merriman River Group,17,0.9,C-,R +1.8,79%,R +5.3,D +0.5
199,Middle Tennessee State University,3,0.6,C,R +0.3,100%,R +4.1,R +9.5
262,Midwest Survey and Research,3,0.8,C-,R +0.1,100%,R +1.0,
333,Millersville University,5,1.6,D-,R +1.5,80%,R +10.5,R +6.3
309,Minnesota State University Moorhead,4,1.1,D+,D +0.5,100%,D +5.9,
163,Missouri State University,3,0.5,C+,D +0.4,67%,D +4.1,D +1.2
186,Mitchell Research & Communications,30,0.6,C,R +0.3,72%,R +0.8,R +1.8
325,Momentum Analysis,3,1.3,D,D +0.5,33%,D +5.7,D +2.8
22,Monmouth University,31,-0.5,A-,R +0.1,84%,R +0.2,R +0.4
18,Montana State University Billings,7,-0.6,A-,D +0.6,57%,D +3.0,D +2.6
109,Moore Information,5,0.3,C+,R +0.4,60%,R +3.0,R +5.0
142,MSR Group,3,0.4,C+,D +0.3,100%,D +3.5,D +1.3
10,Muhlenberg College,20,-0.7,A-,R +0.5,90%,R +1.2,D +0.1
206,Multi Quest International Inc,1,0.6,C,D +0.1,100%,D +1.9,D +0.7
8,National Journal,12,-0.8,A,R +0.2,100%,R +0.6,D +0.3
68,"National Research, Inc.",4,0.1,B-,R +0.5,75%,R +4.6,R +6.8
21,NBC News/Wall Street Journal,23,-0.5,A-,D +0.5,74%,D +1.2,D +1.2
315,Neighbor,1,1.1,D+,R +0.6,100%,R +17.1,R +14.0
224,Neighborhood Research Corporation,1,0.7,C,R +0.1,100%,R +3.4,R +7.2
59,New England College,3,0,B,R +0.1,100%,R +1.5,D +2.2
284,New Frontier Strategy,1,0.9,C-,,0%,,
212,New Mexico State University,1,0.7,C,,0%,,
329,Nielson Brothers Polling,6,1.4,D,D +1.4,83%,D +8.5,D +10.0
101,Northern Arizona University,4,0.3,C+,R +0.4,100%,R +3.3,R +5.1
113,NPR,3,0.3,C+,D +0.1,17%,D +1.0,D +1.0
237,NRECA Market Research,1,0.7,C,D +0.2,100%,D +6.3,
229,Ohio State University,1,0.7,C,R +0.1,100%,R +3.7,R +7.3
318,Ohio University,2,1.2,D+,D +0.5,50%,D +8.8,D +8.1
94,Old Dominion University,1,0.3,C+,D +0.1,100%,D +4.5,R +0.8
204,OnMessage Inc.,6,0.6,C,R +1.1,67%,R +6.6,R +3.6
184,OnPoint,4,0.6,C,D +0.2,100%,D +1.6,D +2.3
264,Opinion Consultants,2,0.8,C-,R +0.4,100%,R +6.5,R +5.4
285,Opinion Research Associates,10,0.9,C-,D +1.0,85%,D +3.8,D +5.3
282,OpinionWorks,6,0.9,C-,R +0.5,92%,R +3.0,D +3.7
88,Orion Strategies,4,0.2,B-,D +0.1,100%,D +1.3,D +6.3
58,Pan Atlantic SMS Group,13,0,B,D +0.5,100%,D +1.7,D +2.2
138,Penn Schoen Berland,18,0.4,C+,D +2.5,67%,D +6.7,D +0.4
171,Personal Marketing Research,3,0.5,C+,,67%,,
50,Pew Research Center,19,-0.1,B,D +0.4,61%,D +1.1,D +0.7
103,Pharos Research Group,31,0.3,F,D +0.9,92%,D +1.7,D +0.9
162,Philadelphia Inquirer,4,0.5,C+,R +0.3,100%,R +2.7,D +0.1
175,"Political Marketing International, Inc./Red Racing Horses",2,0.6,C,D +0.3,75%,D +4.4,R +3.2
257,Polling Company,1,0.8,C-,R +0.2,100%,R +6.0,R +2.0
152,Polling Company/Global Strategy Group (Hotline Bullseye),3,0.5,C+,R +0.4,33%,R +4.6,R +3.1
131,Potomac Incorporated,8,0.4,C+,R +0.5,88%,R +3.1,D +1.3
39,Princeton Survey Research Associates International,31,-0.2,B,D +0.2,71%,D +0.3,R +0.3
301,PSI,3,1,C-,R +0.1,67%,R +3.3,R +4.0
110,Public Opinion Strategies,46,0.3,C+,R +2.1,65%,R +3.5,R +4.2
11,Public Policy Institute of California,10,-0.7,A-,R +0.6,100%,R +3.3,R +0.8
66,Public Policy Polling,297,0,B-,R +0.7,83%,R +0.8,D +1.0
266,"Public Strategies, Inc.",6,0.8,C-,,100%,,
203,Purple Strategies,4,0.6,C,R +0.4,88%,R +3.0,R +0.0
86,QEV Analytics,1,0.2,B-,,0%,,
32,Quinnipiac University,133,-0.3,B+,R +0.9,92%,R +1.1,D +0.4
312,Rainmaker Media Group,1,1.1,D+,D +0.4,100%,D +12.7,D +8.6
154,RAND (American Life Panel),3,0.5,C+,R +0.0,100%,R +0.4,D +3.2
235,Rasmussen Reports/Pulse Opinion Research,623,0.7,C,R +2.3,79%,R +2.4,R +1.4
53,RBI Strategies & Research,2,-0.1,B,R +0.0,100%,R +0.7,D +3.5
211,Red Sea Communications,1,0.7,C,R +0.1,100%,R +4.4,
25,"Research & Polling, Inc.",24,-0.4,B+,R +0.6,83%,R +1.4,R +1.1
156,Research 2000,279,0.5,F,D +1.4,88%,D +1.6,D +1.2
216,Rhode Island College,5,0.7,C,R +0.2,100%,R +1.5,R +0.8
230,Rice University,2,0.7,C,D +0.4,100%,D +5.9,D +0.6
56,"Richard Day Research, Inc.",11,-0.1,B,R +0.8,100%,R +2.9,R +1.0
177,Richmond Times-Dispatch,4,0.6,C,D +0.3,100%,D +2.9,D +2.4
330,Riggs Research Services,1,1.5,D,D +1.1,0%,D +33.7,D +29.0
83,Riley Research Associates,7,0.2,B-,R +0.1,100%,R +0.6,R +1.4
208,Rivercity Polling,1,0.7,C,R +0.2,100%,R +6.7,R +11.5
36,"RKM Research and Communications, Inc.",26,-0.2,B,R +0.2,87%,R +0.5,R +1.4
176,RMS Research,1,0.6,C,R +0.0,100%,R +0.9,
251,Roanoke College,9,0.8,C-,R +0.0,67%,R +0.1,D +0.0
273,Ron Lester and Associates,1,0.8,C-,,100%,,
247,Rossman Group,1,0.8,C-,D +0.1,100%,D +4.2,D +4.7
38,RT Strategies,42,-0.2,B,D +1.1,71%,D +1.9,D +3.5
118,Rutgers University,13,0.4,C+,D +0.1,85%,D +0.3,D +1.3
308,Schapiro Group,2,1,C-,,100%,,
234,Schoen Consulting,1,0.7,C,R +0.1,100%,R +2.3,R +1.8
141,"Schroth, Eldon & Associates",8,0.4,C+,D +0.6,88%,D +3.4,D +1.4
149,Scripps Howard,4,0.5,C+,R +0.1,100%,R +0.6,R +2.3
2,Selzer & Company,32,-1,A+,D +0.0,84%,D +0.0,D +1.8
15,Siena College,32,-0.6,A-,R +0.8,80%,R +1.6,D +0.2
288,"SMS Research & Marketing Services, Inc.",1,0.9,C-,R +0.3,0%,R +9.8,R +0.3
30,SoonerPoll.com,11,-0.3,B+,D +1.5,91%,D +6.4,D +0.0
306,Southeastern Louisiana University,8,1,C-,D +0.0,88%,D +0.3,R +1.3
107,Southern Media & Opinion Research,4,0.3,C+,D +0.0,100%,D +0.1,D +1.9
275,Southern Opinion Research,1,0.8,C-,D +0.3,100%,D +9.4,D +14.0
85,St. Cloud State University,9,0.2,B-,D +0.4,67%,D +1.9,D +1.2
31,St. Norbert College,11,-0.3,B+,D +0.1,86%,D +0.6,D +3.1
254,Star Tribune,13,0.8,C-,D +1.5,46%,D +5.5,D +3.9
62,Stockton College,2,0,B,R +0.1,100%,R +0.9,R +0.5
207,StPetePolls.org,1,0.6,C,D +0.1,50%,D +1.9,D +0.3
239,Strategic Services,1,0.7,C,D +0.2,0%,D +5.5,D +2.0
95,"Strategic Vision, LLC",129,0.3,F,R +1.9,88%,R +2.4,R +2.3
67,Strategies 360,2,0,B-,R +0.2,75%,R +2.4,R +0.6
45,Suffolk University,55,-0.2,B,D +1.1,82%,D +2.1,D +3.5
4,SurveyUSA,722,-0.9,A,R +0.2,91%,R +0.2,R +0.5
220,"Susquehanna Polling & Research, Inc.",27,0.7,C,D +0.2,78%,D +0.5,D +0.4
151,"Talmey-Drake Research & Strategy, Inc.",9,0.5,C+,R +0.4,50%,R +1.8,D +2.7
48,Tarrance Group,19,-0.2,B,R +0.9,79%,R +2.5,R +6.0
337,TCJ Research,133,2.9,F,R +4.5,59%,R +5.6,R +3.5
112,Tel Opinion Research,10,0.3,C+,R +0.0,95%,R +0.1,D +0.1
272,TeleResearch Corporation,1,0.8,C-,,100%,,
146,Temple University,6,0.4,C+,R +0.4,100%,R +2.5,D +0.7
210,Texas Credit Union League,2,0.7,C,,100%,,
29,Time/Abt SRBI,5,-0.3,B+,D +0.2,100%,D +1.8,D +0.3
278,TMR Research,2,0.8,C-,D +0.5,0%,D +7.8,D +6.7
74,Tulchin Research,2,0.1,B-,R +0.2,100%,R +3.4,D +3.2
296,Tulsa Surveys,1,0.9,C-,R +0.4,100%,R +11.9,
166,University Massachusetts Lowell,3,0.5,C+,R +0.1,67%,R +0.6,D +3.0
111,"University Nevada, Las Vegas",1,0.3,C+,,100%,,
316,University of Alabama,2,1.2,D+,R +0.8,100%,R +12.0,R +7.0
63,University of Arkansas,2,0,B-,D +0.1,100%,D +1.4,R +2.8
13,University of Cincinnati (Ohio Poll),38,-0.6,A-,R +1.5,93%,R +3.0,R +2.3
20,University of Connecticut,7,-0.5,A-,R +0.4,93%,R +1.9,R +2.0
121,University of Georgia,1,0.4,C+,R +0.3,100%,R +9.8,R +0.8
292,University of Illinois at Chicago,1,0.9,C-,R +0.5,100%,R +14.1,R +5.1
244,University of Iowa,3,0.7,C,R +0.2,67%,R +6.6,R +2.8
73,University of Massachusetts Amherst,11,0.1,B-,R +0.4,100%,R +7.2,R +1.8
240,University of Miami (Florida Voter),1,0.7,C,D +0.2,100%,D +6.9,D +1.0
51,University of New Hampshire,75,-0.1,B,D +1.5,86%,D +2.1,D +3.3
250,University of New Orleans,5,0.8,C-,R +0.2,80%,R +1.8,D +1.5
202,University of North Carolina,1,0.6,C,D +0.1,100%,D +1.6,R +1.3
127,University of North Florida,2,0.4,C+,D +0.3,0%,D +5.1,D +2.7
26,University of South Alabama,8,-0.4,B+,R +0.4,100%,R +1.9,R +1.5
246,University of South Florida,1,0.8,C-,R +0.1,100%,R +3.9,R +5.1
61,University of Southern California,4,0,B,R +0.6,100%,R +4.8,D +1.8
172,University of Tennessee,1,0.5,C+,R +0.1,100%,R +2.7,R +5.4
97,"University of Texas, online",2,0.3,C+,D +0.0,100%,D +0.3,D +4.5
183,"University of Texas, telephone",2,0.6,C,D +0.1,100%,D +1.9,D +1.0
60,University of Washington,10,0,B,D +0.2,100%,D +0.9,D +4.1
89,University of Wisconsin (Badger Poll),6,0.2,B-,D +0.2,83%,D +1.2,D +1.7
168,University WisconsinÑMilwaukee,3,0.5,C+,R +0.5,100%,R +5.3,R +2.1
99,US News & World Report,3,0.3,C+,R +0.1,100%,R +0.8,D +1.2
122,Val Smith,1,0.4,C+,R +0.3,100%,R +8.5,R +15.0
331,Valley Research,6,1.5,D,D +0.4,83%,D +2.4,D +1.4
114,Vanderbilt University,1,0.3,C+,,100%,,
253,Victoria Research & Consulting,1,0.8,C-,D +0.3,50%,D +8.0,
54,Virginia Commonwealth University,5,-0.1,B,R +0.3,100%,R +1.9,R +1.7
77,Voter/Consumer Research,5,0.1,B-,R +0.4,100%,R +3.7,R +4.4
198,Vox Populi Communications,1,0.6,C,,100%,,
228,War Room Logistics,1,0.7,C,,100%,,
81,Ward Research (Honolulu Star-Advertiser),11,0.2,B-,R +0.7,73%,R +2.6,D +0.8
323,WCIA-TV,2,1.3,D,R +1.1,100%,R +18.3,R +8.8
265,We Ask America,42,0.8,C-,R +1.5,81%,R +3.2,R +2.8
328,Wenzel Strategies,8,1.4,D,R +1.7,25%,R +8.2,R +4.8
217,West Chester University,7,0.7,C,D +0.2,100%,D +1.0,D +2.3
256,West Virginia Research Center,2,0.8,C-,D +0.4,50%,D +6.5,D +2.8
41,Western New England University,9,-0.2,B,R +1.0,83%,R +4.9,R +0.4
231,Wick Communications,1,0.7,C,D +0.1,100%,D +2.8,D +4.0
221,"Wiese Research Associates, Inc.",7,0.7,C,D +1.3,100%,D +6.9,D +4.4
249,Wilson Research Strategies,10,0.8,C-,R +0.1,65%,R +0.5,R +2.8
194,Winston Group,1,0.6,C,D +0.2,100%,D +6.3,R +8.0
188,Wirthlin Worldwide,4,0.6,C,R +0.5,75%,R +3.9,R +4.9
195,Wood Communications Group,1,0.6,C,D +0.0,100%,D +0.8,D +3.0
236,"Yankelovich Partners, Inc.",6,0.7,C,R +0.1,42%,R +1.2,R +1.3
92,YouGov,230,0.3,C+,R +1.2,94%,R +1.4,D +0.0
287,Zata3,2,0.9,C-,R +0.2,100%,R +4.0,D +0.0
248,Zimmerman & Associates/Marketing Intelligence,3,0.8,C-,D +0.3,100%,D +3.2,D +0.6
213,"Zogby Analytics, telephone",376,0.7,C,R +0.5,77%,R +0.6,D +0.5
336,Zogby Interactive/JZ Analytics,86,2.5,F,R +1.4,84%,R +2.0,R +1.4
